	feature_cluster	feature_fraction
CD8+ None maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.8459989807935712
CD4+ None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8465323708136797
Treg None maturity and TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8109998882114426
Treg TE maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7752754986115576
Treg None maturity and PD-1+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7298690914436017
Treg NV maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
Treg None maturity and HLA-DR+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7535229481319747
Treg EMTM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8016576350566404
Treg CM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8654657336039319
Treg None maturity and CD39+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8132115961890528
Treg None maturity and CD226-TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8370849240327608
Treg None maturity and CD226-TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
Treg None maturity and CD226+TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8118433878850294
CD8+ None maturity and TIGIT+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.7168034175380624
CD8+ TE maturity and TIGIT+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.740224406763731
CD8+ TE maturity and PD-1-TIGIT+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.8132319142087475
CD8+ TE maturity and PD-1-TIGIT- expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.771479926341114
CD8+ TE maturity and PD-1+TIGIT+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.7884207013009235
CD8+ TE maturity and PD-1+TIGIT- expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	1.0
CD8+ TE maturity and PD1+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.774402256814533
